1;1stWorldProblem;/static/jpg/1stWorldProblem.png;MakeGrumpy,1;1
2;Doge;/static/jpg/Doge.png;MakeLaugh,1;1
3;GrumpyCat;/static/jpg/GrumpyCat.png;MakeGrumpy,3;1
4;Heman;/static/jpg/Heman.png;MakeLaugh,3;0
5;YouknowwhatImean;/static/jpg/YouknowwhatImean.png;MakeLaugh,1;1
6;HidethePainHarold;/static/jpg/HidethePainHarold.png;Shield,1;2
7;HighExpectationAsianFather;/static/jpg/HighExpectationAsianFather.png;MakeGrumpy,2;1
8;Isthisapigeon;/static/jpg/Isthisapigeon.png;Buff,2;2
9;Mercurywin;/static/jpg/Mercurywin.png;MakeLaugh,1;0
10;Mockingspongebob;/static/jpg/Mockingspongebob.png;MakeLaugh,2;1
11;Noidea;/static/jpg/Noidea.png;MakeLaugh,1;1
12;No;/static/jpg/No.png;MakeGrumpy,2;1
13;NyanCat;/static/jpg/NyanCat.png;MakeLaugh,1;0
14;Oreally;/static/jpg/Oreally.png;Shield,2;2
15;OhGodNo;/static/jpg/OhGodNo.png;MakeGrumpy,2;1
16;OverlyattachedGirlfriend;/static/jpg/OverlyattachedGirlfriend.png;MakeLaugh,3;1
17;ParksandRecs;/static/jpg/ParksandRecs.png;MakeLaugh,1;1
18;Reee;/static/jpg/Reee.png;MakeLaugh,1;0
19;Rickroll;/static/jpg/Rickroll.png;MakeLaugh,1;1
20;SaladCat;/static/jpg/SaladCat.png;MakeLaugh,1;1
21;Satisfaction;/static/jpg/Satisfaction.png;Shield,2;2
22;ScumbagSteve;/static/jpg/ScumbagSteve.png;MakeLaugh,1;1
23;SpanishLaughingGuy;/static/jpg/SpanishLaughingGuy.png;MakeLaugh,1;1
24;SpiderMan;/static/jpg/SpiderMan.png;MakeLaugh,1;0
25;StareDad;/static/jpg/StareDad.png;MakeLaugh,1;1
26;SuccessBaby;/static/jpg/SuccessBaby.png;Shield,2;2
27;SurprisedPikachu;/static/jpg/SurprisedPikachu.png;MakeLaugh,1;1
28;SurprisedKirk;/static/jpg/SurprisedKirk.png;MakeLaugh,2;0
29;Takemymoney;/static/jpg/Takemymoney.png;MakeLaugh,1;1
30;RollSafeThink;/static/jpg/RollSafeThink.png;Shield,1;2
31;Thatsnoneofmybuisness;/static/jpg/Thatsnoneofmybuisness.png;MakeLaugh,1;1
32;TheWhat;/static/jpg/TheWhat.png;MakeLaugh,2;1
33;Thisisfine;/static/jpg/Thisisfine.png;MakeLaugh,1;1
34;TrollFace;/static/jpg/TrollFace.png;MakeGrumpy,1;0
35;TrueStory;/static/jpg/TrueStory.png;MakeGrumpy,1;0
36;WakingUp;/static/jpg/WakingUp.png;MakeLaugh,3;0
37;Watlady;/static/jpg/Watlady.png;MakeGrumpy,1;1
38;WeedGuy;/static/jpg/WeedGuy.png;MakeLaugh,1;1
39;WillyWonka;/static/jpg/WillyWonka.png;MakeLaugh,1;1
40;Duckface;/static/jpg/Duckface.png;MakeGrumpy,1;1
41;Emotionaldamage;/static/jpg/Emotionaldamage.png;MakeGrumpy,3;1
42;Facepalm;/static/jpg/Facepalm.png;MakeGrumpy,2;1
43;Foreveralone;/static/jpg/Foreveralone.png;MakeGrumpy,1;1
44;Genius;/static/jpg/Genius.png;MakeGrumpy,1;1
45;GoodGuy;/static/jpg/GoodGuy.png;MakeGrumpy,2;0
46;DistractedBoyfriend;/static/jpg/DistractedBoyfriend.png;MakeLaugh,1;1
47;CryingCat;/static/jpg/CryingCat.png;MakeGrumpy,2;0
48;All;/static/jpg/All.png;MakeLaugh,1;0
49;AwkwardLittleGirl;/static/jpg/AwkwardLittleGirl.png;MakeGrumpy,1;1
50;Buffeddoge;/static/jpg/Buffeddoge.png;Buff,2;2
51;Cheers;/static/jpg/Cheers.png;MakeLaugh,1;1
52;Disastergirl;/static/jpg/Disastergirl.png;MakeLaugh,2;1
53;DisappointedFan;/static/jpg/DisappointedFan.png;Shield,1;2
